body,Asker,Answered,Answered by,,,
"I run this over drools rep. There are basically three different ""messages"": 1.) not found? ************START******************** jdeps -jdkinternals ./drools-scorecards/target/drools-scorecards-6.3.0-SNAPSHOT-tests.jar : ./drools-scorecards/target/drools-scorecards-6.3.0-SNAPSHOT-tests.jar -> /usr/java/jdk1.8.0_20/jre/lib/rt.jar ./drools-scorecards/target/drools-scorecards-6.3.0-SNAPSHOT-tests.jar -> not found ****************END******************* 2.) nothing - maybe these are the ones that are OK ************START******************** jdeps -jdkinternals ./drools-distribution/target/drools-distribution-6.3.0-SNAPSHOT-tests.jar : ****************END******************* 3.) ??? ************START******************** jdeps -jdkinternals ./drools-distribution/target/drools-distribution-6.3.0-SNAPSHOT/drools-distribution-6.3.0-SNAPSHOT/osgi-binaries/kie-ci-osgi-6.3.0-SNAPSHOT.jar : ./drools-distribution/target/drools-distribution-6.3.0-SNAPSHOT/drools-distribution-6.3.0-SNAPSHOT/osgi-binaries/kie-ci-osgi-6.3.0-SNAPSHOT.jar -> /usr/java/jdk1.8.0_20/jre/lib/jce.jar ./drools-distribution/target/drools-distribution-6.3.0-SNAPSHOT/drools-distribution-6.3.0-SNAPSHOT/osgi-binaries/kie-ci-osgi-6.3.0-SNAPSHOT.jar -> not found ./drools-distribution/target/drools-distribution-6.3.0-SNAPSHOT/drools-distribution-6.3.0-SNAPSHOT/osgi-binaries/kie-ci-osgi-6.3.0-SNAPSHOT.jar -> /usr/java/jdk1.8.0_20/jre/lib/rt.jar com.google.common.cache.Striped64 (kie-ci-osgi-6.3.0-SNAPSHOT.jar) -> sun.misc.Unsafe JDK internal API (rt.jar) com.google.common.cache.Striped64$1 (kie-ci-osgi-6.3.0-SNAPSHOT.jar) -> sun.misc.Unsafe JDK internal API (rt.jar) com.google.common.cache.Striped64$Cell (kie-ci-osgi-6.3.0-SNAPSHOT.jar) -> sun.misc.Unsafe JDK internal API (rt.jar) com.google.common.primitives.UnsignedBytes$LexicographicalComparatorHolder$UnsafeComparator (kie-ci-osgi-6.3.0-SNAPSHOT.jar) -> sun.misc.Unsafe JDK internal API (rt.jar) com.google.common.primitives.UnsignedBytes$LexicographicalComparatorHolder$UnsafeComparator$1 (kie-ci-osgi-6.3.0-SNAPSHOT.jar) -> sun.misc.Unsafe JDK internal API (rt.jar) ****************END*******************",Michael Biarnes Kiefer ,1,Geoffrey De Smet,,,
There were some changes related to formatting done by [~kgaevski]. I believe the formatters are now up-to-date. [~kgaevski] can you please confirm that?,Petr Široký ,1,Kirill Gaevskii,"Asker question about real problem of issue is formmatter are not up-to-date. After confirm, changed the summary to formatters are not up-to-date",,
"Petr in that SNAPSHOT setup, after building successfully once, did you try pluggin out your network cable and building again? The second time it must be able build offline (and that originally didn't work with pressgang 3).",Geoffrey De Smet ,1,Petr Široký,,,
"public Class<?> fastFindClass( final String name ) { lock.lock(); Class<?> cls = findLoadedClass( name ); if (cls == null) { final byte[] clazzBytes = this.store.read( convertClassToResourcePath( name ) ); if (clazzBytes != null) { String pkgName = name.substring( 0, name.lastIndexOf( '.' ) ); if ( getPackage( pkgName ) == null ) { definePackage( pkgName, """", """", """", """", """", """", null ); } cls = defineClass( name, clazzBytes, 0, clazzBytes.length, PROTECTION_DOMAIN ); } if (cls != null) { resolveClass( cls ); } } lock.unlock(); return cls; } it that ok? i find the lock has been removed in 6.2.0.Final， is that means 5.6.0Final has dead lock problem？ can i use 5.6.0 in my project?",chi chi,1,Davide Sottara ,Difference between releases,one is not belongs this network,Corelate RQ3: large size
"Are you reporting a deadlock problem ??? If so, please change this ticket to bug - blocker AND provide a reproducer. Reading your comment, this is not a bug report, not a feature request, but a question. In this case, please close this ticket and ask your question here https://groups.google.com/forum/#!forum/drools-development (By the way, the classloader architecture was completely redesigned for 6.x, so you can't just compare 5.6 and 6.x. Is there any reason why you would prefer an old, no longer supported version for your project? This would be a discussion for here: https://groups.google.com/forum/#!forum/drools-usage) Thanks",Davide Sottara ,1,chi chi,,,
"AFAIK this was done? I am not sure about this. Geoffrey, If you know that this werd done please resolve and close this Jira.",Michael Biarnes Kiefer ,1,Geoffrey De Smet ,Requirements status,insider project,
"mbiarnes, would you mind creating a new repo under droolsjbpm, push some stuff to it and then force push some more stuff to it? That will answer the question above. Note: We can't on existing repo's without potentially breaking them which is not an option.",Geoffrey De Smet ,1,Michael Biarnes Kiefer ,Requirements status,insider project,
#ERROR!,Edson Tirelli,1,Wolfgang Laun,Further explain requirements,,
"Davide, thanks for the feedback. Regarding your comments: h5. Section 2 I considered that as well, but I think it is best to keep them as 2 separate pieces of syntax. The easiest way to see this is that a ""declare type"" statement is like declaring a class, while an ""event"" statement is like instantiating that class. While there can be only one ""declare type"" for each type, there can be multiple ""event"" statements to instantiate events of the same type based on different criteria. Just a dumb example to illustrate the idea: {code}declare type AccountDebit @role( event ) accountId : String ammount : BidDecimal end event AccountDebit as ATMTransaction( type == TransactionType.Withdraw, accountId : accountId, ammount : totalAmmount ) end event AccountDebit as InternetTransaction( type == TransactionType.TransferOut, accountId : accountId, ammount : totalAmmount ) end {code} h5. Section 4 * I agree that we don't want both a delimiter and the infix -> CE, but I am still not sure the infix will be enough for our needs. Will have to proceed to the design and implementation and revisit this issue when we get there. * The ""strict followed-by"" (=>) operator remains a possible implementation, but the more I think about it, the less I think it will be used, because in most of the use cases, there aren't any assurances that the events won't be intermixed in the streams coming into the system. Unless we have a compelling use case, I think this is a nice to have, but lower priority feature. I will add it to the spec anyway. Let me know if you know of any specific use case we should consider. * One can still use temporal operators to further constrain sequences of events: {code}$a : A() -> $b : B( this after[0,10s] $a ){code} I don't think it would be good to allow, at this point, further parameterization of the -> CE by itself. Basically, what the -> CE defines is a state machine/automaton, and that can be constrained as necessary by the patterns themselves with both temporal and non-temporal constraints. What do you think? * The problem of using the [] after the pattern type is that it become ambiguous with array types: A[*] ---> is this an array of A's with a typo or does it mean matching a repetition of A's? The ""exists[+] A()"" is feasible, just more verbose... do you think it would be worth writing a keyword there all the time? h5. Section 4.1 Yes, it is a step towards what you asked before... probably 80% of the way, but we would still need a few more things to get where you want... nevertheless, one feature that serves 2 purposes. h5. Section 5.5 The main difference is in semantics: event qualifiers only work with event sequencing. They are not Conditional Elements, like the ""not"" CE. That is the reason I can't decide between overloading the use of ""not"" or using a different keyword. In any case, all qualifiers are used in sequences of events, not in regular patterns. I actually need to check if there is any syntax ambiguity that I haven't identified yet.",Edson Tirelli,1,Davide Sottara ,Further explain requirements,,
"DL does support multiple definitions too.. I'm just worried that the various parts will be too scattered and people will lose track of the defintions for a given declaration. But then we should hear what Mark has in mind, given the ""modules"" structure he has in mind :) What about allowing this, instead? declare event Ev // declaration here end define Ev as // LHS-like definition here end",Davide Scottara,1,Edson Tirelli,Further explain requirements,,
"{quote} What about allowing this, instead? declare event Ev // declaration here end define Ev as // LHS-like definition here end {quote} Seems to me that you are proposing the same thing that is already in the document, just using different keywords?",Edson Tirelli,1,Davide Sottara ,,,
"(WL1) Section 2, re the proposed construct ""event <name> as ... [insert...] end"" (a) As this creates and inserts a new event fact, based on a condition similar to a rule and an implicit insert: it should also permit rule attributes? (b) It is frequently necessary to retract the matched original facts - see the phone call handling example. Consider adding a clause permitting retracts.",Wolfgang Laun,1,Edson Tirelli,Further explain requirements,,
"(WL2) Section 3 (a) There is no ""end timestamp"" in the definition of ""event"" in the ""Fusion"" manual. Is it the ""duration"" for the derived event that is computed from the difference between the latest timestamp and the oldest one? (b) What if the contributing events have duration? Then the ""end timestamp"" of the derived event must be computed by max/over all events(timestamp+duration).",Wolfgang Laun,1,Edson Tirelli,Further explain requirements,,
"(WL4) Section 5, re Repetitions [*], [+] [a:b]. (a) Each of these wildcard forms implies a sequence in the sense of Section 4. However, is it ""followed by"" or ""strictly followed by""? Note that if you define it to have either meaning, there's no simple way of expressing the other meaning. (b) What about [?] ;-) (c) It is *essential* to define whether the fildcards [*] and [+] are 'greedy' or not. (d) I think it is important to clarify whether an event type after a wildcard can be a superclass or not. Given AA extends A, does ""[*]A() -> AA()"" (with ""greedy"" [*]) ever complete?",Wolfgang Laun,1,Edson Tirelli,Further explain requirements,,
"(WL5) Subsection 5.1, binding of tuples Given the ""event"" declaration (Section 2): How would this interact with bindings to event tuples selected by wildcards? I see no simple way of permitting such combinations; here explicit event creation (using new) and insertion must be done. Please clarify.",Wolfgang Laun,1,Edson Tirelli,Further explain requirements,,
"(WL6) Subsection 5.2, tuple properties (a) The formal and notational similarity to a (Java) array makes 'length' preferable to 'size'. (b) 'first' and 'last' should be dropped, as you have [0] and should consider [-1] for 'last'. (Note that this would give you an easy way of selecting the ""last but one""! (c) With $a being bound to an array, you should be able to write ""from $a"", or (RHS) ""for( Object f: $a ){...}"" - so what's the purpose of property ""iterator""?",Wolfgang Laun,1,Edson Tirelli,Further explain requirements,,
"(WL8) Subsection 6.2 (a) Who is going to want an operator where you don't know the result? (b) Given that ""any A() -> any C()"" has a ""possible (!) result"" [A1, C1], why has ""every( any A() -> any C() )"" an exact result - note that ""X1 = [A1, C1], X2 = [A4, C3]"" is presented as a well-defined (!) result. (And why does this only produce 2 results - there are A1,A2,A3 and C1, C2, C3?)",Wolfgang Laun,1,Edson Tirelli,Further explain requirements,,
"(WL11) Section 7 (a) Will there be a way to avoid the frequently seen confusion arising from window:length(N) being satisfied for any count n, 1 <= n <= N? Apparently not, if ""20e"" is being defined as syntactic sugar for ""window:length(20)"". (b) Why should the first event in a sequence not be subject to a window constraint?",Wolfgang Laun,1,Edson Tirelli,Further explain requirements,,
"Thanks, what about the other way around, eg DROOLS SNAPSHOT with mvel 2.1.9 - does that work?",Claus Ibsen ,1,Mario Fusco,Asked things not related to issue,Create a new issue?,
I double checked that all the tests in your pull request run successfully and merged it. I am not sure of what we could do to better support other encodings. Any suggestion?,Mario Fusco,1,Toshiya Kobayashi,"Resolution for one encoding, not all",,
Could you please submit the rules you used to benchmark the engine? Thanks!,Davide Sottara,1,Ravi Sanwal,,,
"We'd like to try and fix this for 6.1, which is due within 2 weeks. But to do so we need some benchmarks, can you upload a zip for us?",Mark Proctor,1,Ravi Sanwal,,,
"The FireUntilHalt command is marked as unpersistable (for obvious reasons - it is usually executed in a dedicated thread), which causes the exception even before the command is attempted. Could you elaborate more on your use cases? In particular, what would you expect to happen if a running session was persisted and then restored?",Davide Sottara ,1,Roger Lefebvre ,,,
"Thanks for reporting this, can you submit a PR? It will be easier to discuss the details Thanks! Davide",Davide Sottara ,1,Frank Pavageau,,,
"Hi there. It's been more than 3 months and neither this issue nor the pull request has seen any kind of response, so I was wondering if something important is missing (other than time of the Drools team side). Should I continue rebasing the modification on master from time to time?",Frank Pavageau,1,Mario Fusco,,,
"I see what you are trying to do, but I am not sure that such an attribute would be feasible, or even solve your problem. What happens if a rule inserts (and modifies, and retracts...) more than one object? And what happens if the same object is insert by more than one rule? Have you tried using the EQUALITY assertion behavior and/or the @propertyReactive annotation? The former considers equivalent (i.e. equals()) object to be the ""same"" and thus do not activate rules multiple times, regardless of the rule that generated the objects. The latter allows you to control how rules fire in case of updates. Best Davide",Davide Sottara ,1,Adar Dembo,,,
"I don't see the problem with modifications to multiple facts: you could condition on the NOT of the logical AND of all facts. Or the logical OR; I think both approaches are defensible. As for your second example, what's the issue with multiple rules asserting the same fact? In any case, I think the biggest challenge to implementation is that the rule consequence is a snippet of Java, and thus can do absolutely anything. For example, it could conditionally assert a fact. How do you modify the rule then? Also conditionally? Based on runtime input? It seems really challenging. The example that actually drove me to file this bug looks something like this: {noformat} rule ""1"" when accumulate (Foo($type : type, $value : value), $total : sum($value)) then insert(new Bar($type, $total)); end rule ""handle all Bars of type first"" when $bar : Bar(type == 'first', $total : total) ... then retract($bar); end rule ""handle all Bars of type second"" when $bar : Bar(type == 'second', $total : total) ... then retract($bar); end rule ""generic rule to handle all leftover Bars"" salience -1 // let custom Bar rules fire first when $bar : Bar($total : total) ... then retract($bar); end {noformat} The flow here is to convert the sum of all Foos (of a given type) into a Bar. Subsequently, there's a rule to handle each type of Bar, with a generic rule to handle Bars without a custom rule. To get that fallthrough behavior I need: # Salience -1 on the generic rule, so it fires last. # Retraction of each Bar as it's processed. However, the retraction causes the summation rule to reactivate, unless I add an explicit {{not Bar(type == $type)}} condition to the rule. Granted, in this case, I suppose the feature request mentioned here wouldn't work, because it'd add {{not Bar(type == $type, total == $total)}}, which would allow the rule to reactivate. For this example, I don't think equality-based assertion will solve my problem; fundamentally the retraction of a Bar causes us to reevaluate the accumulate rule. Likewise, I don't think @propertyReactive will help either; the issue here isn't with modifying a single property, but with removing an entire fact.",Adar Dembo,1,Davide Sottara ,Do not know yet,,
Hello [~hkonsek]. Would it possible to attach a reproducer which shows the error you are encountering? It would help us a lot. Thanks!,Petr Široký,1,Henryk Konsek,,,
"I did test and merge your pull request. And that part works. However I am now stuck at the next bundle: {code} org.osgi.framework.BundleException: The bundle ""org.kie.remote.client_6.4.0.201604141724 [26]"" could not be resolved. Reason: Missing Constraint: Import-Package: org.kie.remote.services.ws.common; version=""0.0.0"" {code} However the JAR {{kie-remote-ws-common-6.4.0.Final.jar}} is not an OSGi bundle. I updated the repository, so you can test if you like. Should I open a new issue?",Jens Reimann,1,Petr Široký,Keep requirements simple and new requirments,,
And which is not available on Equinox ;-) So should I open a new issue for that? Or can you do that. I guess you can provide better information than I can.,Jens Reimann,1,Petr Široký,Keep requirements simple and new requirments,,
"Ok, you are right for the backward compatibility. ==> ena""B""led is fine. What should i do for the next step ? I didn't understood. Should i select under the workflow button, the ""Link Pull Request"" choice ?",Thierry Guerin,1,Michael Anstis,Long time,,
"[~mbiarnes] On the ip-bom list, Keith and Gary we're wondering how to do this. How did you fix this for us? We 'll want to extract that to the ip-bom, so the other projects benefit from it too.",Geoffrey De Smet ,1,Michael Biarnes Kiefer,,,
